CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
18:36:05,0:2:12,0.31,0.01,2.17,1
18:36:05,0:2:12,0.31,0.01,2.18,1
18:36:06,0:2:13,0.31,0.01,2.18,1
18:36:06,0:2:13,0.31,0.01,2.18,1
18:36:07,0:2:14,0.31,0.0,2.2,1
18:36:07,0:2:14,0.31,0.0,2.2,1
18:36:08,0:2:15,0.31,0.0,2.22,1
18:36:08,0:2:15,0.3,0.0,2.22,1
18:36:09,0:2:16,0.3,0.0,2.23,1
18:36:09,0:2:16,0.3,0.0,2.23,1
18:36:10,0:2:17,0.3,0.0,2.25,1
18:36:10,0:2:17,0.3,0.0,2.25,1
18:36:11,0:2:18,0.3,0.0,2.27,1
18:36:11,0:2:18,0.3,0.0,2.27,1
18:36:12,0:2:19,0.3,0.0,2.28,1
18:36:12,0:2:19,0.3,0.0,2.28,1
18:36:13,0:2:20,0.3,0.0,2.3,1
18:36:13,0:2:20,0.3,0.0,2.3,1
18:36:14,0:2:21,0.3,0.02,2.3,0
18:36:14,0:2:21,0.3,0.02,2.3,0
18:36:14,0:2:22,0.3,0.04,2.3,0
18:36:15,0:2:22,0.3,0.04,2.3,0
18:36:15,0:2:23,0.3,0.05,2.3,0
18:36:16,0:2:23,0.29,0.05,2.3,0
18:36:16,0:2:24,0.29,0.07,2.3,0
18:36:17,0:2:24,0.29,0.07,2.3,0
18:36:17,0:2:25,0.29,0.09,2.3,0
18:36:18,0:2:25,0.29,0.09,2.3,0
18:36:18,0:2:26,0.29,0.1,2.3,0
18:36:19,0:2:26,0.29,0.1,2.3,0
18:36:19,0:2:27,0.29,0.12,2.3,0
18:36:20,0:2:27,0.29,0.12,2.3,0
18:36:20,0:2:28,0.29,0.14,2.3,0
18:36:21,0:2:28,0.29,0.14,2.3,0
18:36:21,0:2:29,0.29,0.15,2.3,0
18:36:22,0:2:29,0.29,0.15,2.3,0
18:36:22,0:2:30,0.28,0.17,2.3,0
18:36:23,0:2:30,0.28,0.17,2.3,0
18:36:23,0:2:31,0.28,0.19,2.3,0
18:36:24,0:2:31,0.28,0.19,2.3,0
18:36:24,0:2:32,0.28,0.21,2.3,0
18:36:25,0:2:32,0.28,0.21,2.3,0
18:36:25,0:2:33,0.28,0.22,2.3,0
18:36:26,0:2:33,0.28,0.22,2.3,0
18:36:26,0:2:34,0.28,0.24,2.3,0
18:36:27,0:2:34,0.28,0.24,2.3,0
18:36:27,0:2:35,0.28,0.24,2.3,0
18:36:28,0:2:35,0.28,0.26,2.3,0
18:36:28,0:2:36,0.28,0.26,2.3,0
18:36:29,0:2:36,0.28,0.27,2.3,0
18:36:29,0:2:37,0.28,0.27,2.3,0
18:36:30,0:2:37,0.27,0.29,2.3,0
18:36:30,0:2:38,0.27,0.29,2.3,0
18:36:31,0:2:38,0.27,0.31,2.3,0
18:36:31,0:2:39,0.27,0.31,2.3,0
18:36:32,0:2:39,0.27,0.32,2.3,0
18:36:32,0:2:40,0.27,0.32,2.3,0
18:36:33,0:2:40,0.27,0.34,2.3,0
18:36:33,0:2:41,0.27,0.34,2.3,0
18:36:34,0:2:41,0.27,0.36,2.3,0
18:36:34,0:2:42,0.27,0.36,2.3,0
18:36:35,0:2:42,0.27,0.37,2.3,0
18:36:35,0:2:43,0.27,0.37,2.3,0
18:36:36,0:2:43,0.27,0.39,2.3,0
18:36:36,0:2:44,0.27,0.39,2.3,0
18:36:37,0:2:44,0.27,0.41,2.3,0
18:36:37,0:2:45,0.27,0.41,2.3,0
